,0,1,0
0,8.137947,-4.1619477,0
1,7.038469,-4.0260196,0
2,7.432821,-3.8809052,0
3,8.347648,-2.6629107,0
4,5.413225,-1.520934,0
5,2.2946246,-6.3592544,0
6,6.594603,-5.631753,0
7,3.1757655,-0.13663118,1
8,3.064128,-0.13472453,1
9,3.1934447,-0.13609484,1
10,3.0157194,-0.13451897,1
11,3.501473,-0.14560094,1
12,0.5716674,-1.5294733,2
13,-1.199074,-1.925183,2
14,-1.5746746,-2.2830312,2
15,0.6093913,-1.5097575,2
16,-1.1843514,-1.8863761,2
17,-0.39164922,-2.3000417,3
18,-0.39187256,-2.3000476,3
19,-0.39094636,-2.3000135,3
20,-0.391444,-2.3000333,3
21,-0.38999936,-2.3000124,3
22,0.6616158,-5.508225,4
23,5.620926,-2.4064357,4
24,3.5184085,-5.9750123,4
25,6.374797,-3.2148259,4
26,1.7928206,-8.983852,5
27,1.7928419,-8.983841,5
28,1.7928146,-8.983854,5
29,1.7928494,-8.98384,5
30,-0.15588896,-8.125112,6
31,-3.1435435,-8.713756,6
32,-0.1556205,-8.125113,6
33,-2.2364748,-8.624777,7
34,-2.272631,-8.096822,7
35,-0.95607084,-8.71375,7
36,-2.252378,-6.8522916,7
37,-3.2587738,-7.3730273,7
38,-2.9024024,-7.7777658,7
39,-4.7433553,-7.9026175,7
40,2.6903422,-3.561816,8
41,0.46286166,-2.5653358,8
42,1.6327823,-3.4339561,8
43,2.1121469,-2.6200218,8
44,1.9615855,-2.9091396,8
45,2.8653278,-0.7383124,9
46,2.86531,-0.7383072,9
47,2.865315,-0.7383128,9
48,2.8653154,-0.73830765,9
49,2.865329,-0.73831064,9
50,-0.32188618,-1.6917677,10
51,-0.32188454,-1.6917629,10
52,-0.32188398,-1.6917689,10
53,-0.32188582,-1.6917672,10
54,-0.32188714,-1.6917661,10
55,1.0964056,-4.925869,11
56,1.0593127,-5.5032897,11
57,3.4743896,-5.4505916,11
58,2.9463837,-4.237311,11
59,2.018084,-3.3289373,11
60,2.2009065,-4.480601,11
61,4.378811,-1.3606249,11
62,6.599486,-1.5519826,11
63,2.2072217,-5.76862,11
64,1.7639791,0.509907,11
65,-4.8286295,-7.0097194,12
66,-4.6782684,-6.6951,12
67,-4.0065017,-6.556318,12
68,-4.7773037,-6.306387,12
69,-6.518086,-4.264719,12
70,-5.496773,-6.695647,12
71,-2.413319,-6.1557755,13
72,-1.5745801,-5.8363714,13
73,-4.3747888,-5.5673437,13
74,-1.8887149,-5.927931,13
75,-2.819276,-7.5368466,13
76,-3.099913,-6.77316,13
77,-2.340492,-1.390689,14
78,-0.71327794,-2.3214343,14
79,-5.0405927,-4.6479654,14
80,-4.456459,-6.71711,14
81,-4.591697,-3.404494,14
82,-2.7244544,-5.306061,14
83,-5.704892,-5.2030225,15
84,-4.055302,-5.2518797,15
85,-4.055012,-6.997229,15
86,-4.256461,-6.0025015,15
87,-3.6580539,-5.0223794,15
88,-3.3196056,-4.9513597,15
89,0.68271285,-5.3593955,16
90,-5.829656,-3.9191558,16
91,-3.6949403,-0.73550034,16
92,-0.87593895,-5.7488027,16
93,0.6532878,-3.5594792,16
94,-1.205589,-5.3656774,16
95,-1.6407497,-4.901561,16
96,-1.6798911,-4.891999,16
97,-0.25012106,-6.031347,16
98,3.050016,-3.6437328,17
99,2.6884882,-1.6135411,17
100,1.0297717,-9.0946865,18
101,1.0638689,-8.960532,18
102,7.4118876,-2.3694808,18
103,8.177326,-3.7909806,18
104,2.826149,0.0650564,19
105,0.73785764,-2.2944388,19
106,4.2387395,2.1233335,19
107,1.8570226,-0.6753406,19
108,-1.0584743,-2.2141573,19
109,3.3429282,0.58691794,19
110,4.1594286,1.4764988,20
111,2.3827775,4.3082647,20
112,4.6142454,3.306923,20
113,6.5220456,5.3712997,20
114,6.002162,-0.97412103,21
115,2.7176862,-1.6976968,21
116,4.8498964,-1.8563464,21
117,2.038599,-0.91392076,21
118,1.1836123,-2.300266,21
119,0.9562287,-2.9732168,21
120,7.45374,-5.869285,22
121,5.793399,-7.6739745,22
122,-2.2485874,0.38277537,23
123,3.7763941,-1.2142183,23
124,-4.703185,-4.3344493,23
125,0.6548409,-4.295179,23
126,-1.1771793,-2.5689132,24
127,-2.4657772,-4.7351336,24
128,-2.532343,-3.666757,24
129,-3.2384787,-3.4269698,24
130,-1.847702,-5.2967963,24
131,-3.9841578,-4.502102,24
132,1.0045108,-1.8875093,24
133,0.52699083,-4.538621,25
134,-1.8050671,-4.231631,25
135,4.827368,-7.029254,25
136,-0.711972,-3.4395885,25
137,-1.7993132,-5.1024823,25
138,1.3346558,-5.762618,25
139,-3.4736462,-4.079539,25
140,0.04776273,-6.114701,25
141,-2.988082,-5.7428503,26
142,-0.20865782,-6.078452,26
143,-3.6655965,-3.1527383,26
144,-0.20842299,-3.2211874,26
145,-2.2611005,-3.756642,26
146,-0.7193997,-4.624272,26
147,0.21302135,-3.5212295,26
148,0.4753328,-5.577695,27
149,-3.7484791,-4.483728,27
150,-0.1855338,-1.0743828,27
151,0.75655735,-4.821729,27
152,-0.15466401,-4.2972765,27
153,1.5329441,-7.1442304,27
